impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,erases,table_size,active,available,tombstones,total_probes,inserts,deletes,lookups,full_scans,compactions,max_in_table,available_pct,load_factor_pct,eff_load_factor_pct,tombstones_pct,average_probes,probe_type,compaction_state
hash_map_double,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,35.4156,20914,12288,8626,1279,1024,69,186,116923,9650,8626,0,0,23,1024,5,80,94,14,6.397625,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,37.8811,20914,12288,8626,1279,1024,76,179,297708,9650,8626,0,0,18,1024,5,80,94,13,16.289560,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,14139.1,21398472,12582912,8815560,1310809,77617,1164577,68615,32797364,5076787,4999170,0,0,0,138007,88,5,11,5,3.255012,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,9946.87,21398472,12582912,8815560,1310809,77617,1172778,60414,34039755,5076787,4999170,0,0,0,138007,89,5,10,4,3.378315,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_131072_S_23.trace,131072,23,2197.11,2675573,1572864,1102709,163861,69238,18153,76470,11280959,801287,732049,0,0,0,91561,11,42,88,46,7.357134,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_131072_S_23.trace,131072,23,1946.44,2675573,1572864,1102709,163861,69238,36299,58324,15445043,801287,732049,0,0,0,91561,22,42,77,35,10.072837,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,585.281,334156,196608,137548,20479,16384,2232,1863,1906249,153932,137548,0,0,23,16384,10,80,89,9,6.539896,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,672.138,334156,196608,137548,20479,16384,2290,1805,5616906,153932,137548,0,0,18,16384,11,80,88,8,19.270296,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,71.62,41845,24576,17269,2551,2048,148,355,240851,19317,17269,0,0,23,2048,5,80,94,13,6.583147,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,84.3871,41845,24576,17269,2551,2048,140,363,709182,19317,17269,0,0,18,2048,5,80,94,14,19.383972,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,3614.39,5348813,3145728,2203085,327739,76841,162864,88034,11165291,1366072,1289231,0,0,0,122403,49,23,50,26,4.204903,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,2687.94,5348813,3145728,2203085,327739,76841,190052,60846,13194293,1366072,1289231,0,0,0,122403,57,23,42,18,4.969035,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,1192.77,668561,393216,275345,40849,32768,2629,5452,3869028,308113,275345,0,0,23,32768,6,80,93,13,6.631202,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,1396.39,668561,393216,275345,40849,32768,2921,5160,11765942,308113,275345,0,0,18,32768,7,80,92,12,20.165877,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,149.168,83656,49152,34504,5101,4096,557,448,478979,38600,34504,0,0,24,4096,10,80,89,8,6.552022,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,157.398,83656,49152,34504,5101,4096,496,509,1236114,38600,34504,0,0,19,4096,9,80,90,9,16.908979,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,6946.74,10698161,6291456,4406705,655243,77851,500249,77143,17967482,2591444,2513593,0,0,0,136301,76,11,23,11,3.519560,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,4956.33,10698161,6291456,4406705,655243,77851,517218,60174,19352949,2591444,2513593,0,0,0,136301,78,11,21,9,3.790952,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,1398.72,1337348,786432,550916,81931,51854,4502,25575,7038476,507379,455525,0,0,5,57802,5,63,94,31,7.309634,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,1604.26,1337348,786432,550916,81931,51854,8117,21960,15358060,507379,455525,0,0,4,57802,9,63,90,26,15.949731,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,279.241,167022,98304,68718,10273,8192,621,1460,956637,76910,68718,0,0,22,8192,6,79,93,14,6.569046,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,319.433,167022,98304,68718,10273,8192,1233,848,2634648,76910,68718,0,0,18,8192,12,79,87,8,18.091631,single,compaction_on
